Country Code,Country Name,Passport Nationality,Max Days,Period Days,Rule Type,Visa Free,Visa Cost,Visa Currency,Visa Type,Processing Time,Digital Nomad Available,Digital Nomad Min Income (USD/month),Digital Nomad Duration (days),Working Holiday Available,Working Holiday Age Limit,Extension Possible,Extension Days,Extension Cost (USD),Multiple Entry,Min Passport Validity (months),Proof of Onward Travel,Source URL,Last Updated,Notes
KR,"South Korea",US,90,,reset,No,10000,KRW,eta,"24-72 hours",Yes,66000,730,No,"",Yes,90,60,Yes,6,No,"https://www.k-eta.go.kr/",2024-11,"K-ETA required. Resets upon exit"
JP,"Japan",US,90,180,rolling,Yes,0,FREE,free,"",Yes,0,180,No,"",Yes,90,40,Yes,,No,"https://www.mofa.go.jp/",2024-11,"90 days within any 180-day period"
VN,"Vietnam",US,90,,reset,No,25,USD,e-visa,"3 business days",No,,,No,"",No,,,Yes,6,No,"https://evisa.xuatnhapcanh.gov.vn/",2023-08,"E-visa required ($25). Multiple entry available. Cannot extend beyond 90 days."
TH,"Thailand",US,60,,reset,Yes,0,FREE,free,"On arrival",Yes,80000,3650,No,"",Yes,30,60,Yes,,Yes,"https://www.thaiembassy.com/",2024-07,"Resets upon exit. Land border: max 2 entries/year"
SG,"Singapore",US,90,,reset,Yes,0,FREE,free,"",No,,,No,"",Yes,89,40,Yes,,Yes,"https://www.ica.gov.sg/",2024-11,"Resets upon exit. Frequent visa runs may be questioned."
MY,"Malaysia",US,90,,reset,Yes,0,FREE,free,"",No,,,No,"",Yes,30,35,Yes,6,No,"https://www.imi.gov.my/",2024-11,"Resets upon exit. Multiple entries allowed. Must complete MDAC within 3 days before arrival (free)."
FR,"France",US,90,180,rolling,No,7,EUR,eta,"Few minutes to 96 hours",No,,,No,"",No,,,Yes,3,No,"https://france-visas.gouv.fr/",2024-11,"Schengen Area: 90 days in any 180-day period. ETIAS (€7) required from 2025."
GB,"United Kingdom",US,180,365,rolling,Yes,0,FREE,free,"",No,,,No,"",No,,,Yes,,No,"https://www.gov.uk/check-uk-visa",2024-11,"180 days in any 365-day period"
PH,"Philippines",US,30,,reset,Yes,0,FREE,free,"",No,,,No,"",Yes,29,75,Yes,6,Yes,"https://www.immigration.gov.ph/",2024-11,"Resets upon exit. Can extend up to 36 months in-country."
ID,"Indonesia",US,30,,reset,Yes,0,FREE,free,"",Yes,60000,1825,No,"",Yes,30,50,Yes,6,No,"https://www.imigrasi.go.id/",2024-11,"Resets upon exit. Can extend once for 30 days."
TW,"Taiwan",US,90,,reset,Yes,0,FREE,free,"",No,,,No,"",Yes,90,100,Yes,6,No,"https://www.boca.gov.tw/",2024-11,"Resets upon exit. Immediate re-entry allowed."
HK,"Hong Kong",US,90,,reset,Yes,0,FREE,free,"",No,,,No,"",Yes,90,30,Yes,,No,"https://www.immd.gov.hk/",2024-11,"Resets upon exit. Immediate re-entry allowed."
AU,"Australia",US,90,,reset,No,20,AUD,eta,"Instant to 24 hours",No,,,Yes,"18-30",No,,,Yes,6,No,"https://immi.homeaffairs.gov.au/",2024-11,"ETA required (AUD 20). 90 days per visit, multiple entries in 12 months."
NZ,"New Zealand",US,90,,reset,No,23,NZD,eta,"10 minutes to 72 hours",No,,,Yes,"18-30",Yes,90,0,Yes,,Yes,"https://www.immigration.govt.nz/",2024-11,"NZeTA required (NZD 17-23). 90 days per visit, can stay up to 6 months in 12-month period."
CA,"Canada",US,180,365,rolling,Yes,0,FREE,free,"",No,,,No,"",Yes,180,100,Yes,,No,"https://www.canada.ca/",2024-11,"180 days in any 365-day period"
MX,"Mexico",US,180,,reset,No,30,USD,on-arrival,"Immediate",Yes,2500,1460,No,"",Yes,180,30,Yes,,No,"https://www.gob.mx/inm",2024-11,"Up to 180 days per entry. Tourist card required."
BR,"Brazil",US,90,,reset,Yes,0,FREE,free,"",Yes,1500,730,No,"",Yes,90,25,Yes,6,No,"https://www.gov.br/pf/",2024-11,"Can extend once for 90 days (180 total)."
AR,"Argentina",US,90,,reset,Yes,0,FREE,free,"",Yes,0,365,No,"",Yes,90,50,Yes,,No,"https://www.argentina.gob.ar/",2024-11,"Can extend for 90 days. Easy to reset via border run."
ES,"Spain",US,90,180,rolling,No,7,EUR,eta,"Few minutes to 96 hours",Yes,2500,1825,No,"",No,,,Yes,3,No,"https://www.exteriores.gob.es/",2024-11,"Schengen Area: 90 days in any 180-day period. ETIAS (€7) required from 2025."
IT,"Italy",US,90,180,rolling,No,7,EUR,eta,"Few minutes to 96 hours",No,,,No,"",No,,,Yes,3,No,"https://www.esteri.it/",2024-11,"Schengen Area: 90 days in any 180-day period. ETIAS (€7) required from 2025."
DE,"Germany",US,90,180,rolling,No,7,EUR,eta,"Few minutes to 96 hours",No,,,No,"",No,,,Yes,3,No,"https://www.auswaertiges-amt.de/",2024-11,"Schengen Area: 90 days in any 180-day period. ETIAS (€7) required from 2025."
PT,"Portugal",US,90,180,rolling,No,7,EUR,eta,"Few minutes to 96 hours",Yes,3000,730,No,"",No,,,Yes,3,No,"https://www.vistos.mne.gov.pt/",2024-11,"Schengen Area: 90 days in any 180-day period. ETIAS (€7) required from 2025."
AE,"UAE",US,30,,reset,Yes,0,FREE,free,"",Yes,5000,365,No,"",Yes,30,150,Yes,6,No,"https://www.icp.gov.ae/",2024-11,"Can extend twice for 30 days each (90 total)."
TR,"Turkey",US,90,180,rolling,Yes,0,FREE,free,"",No,,,No,"",Yes,90,100,Yes,6,No,"https://www.mfa.gov.tr/",2024-11,"90 days in any 180-day period."
IL,"Israel",US,90,,reset,Yes,0,FREE,free,"",No,,,No,"",Yes,90,50,Yes,6,No,"https://www.gov.il/",2024-11,"90 days per entry. May face questions on frequent entries."
ZA,"South Africa",US,90,,reset,Yes,0,FREE,free,"",No,,,No,"",Yes,90,50,Yes,6,Yes,"https://www.dha.gov.za/",2024-11,"90 days per year. Can apply for extension once."
JP,"Japan",KR,90,,reset,Yes,0,FREE,free,"",No,,,Yes,"18-30",No,,,Yes,,No,"https://www.kr.emb-japan.go.jp/",2024-11,"출국 시 리셋. 관광/상용 목적"
TH,"Thailand",KR,90,,reset,Yes,0,FREE,free,"",Yes,80000,1825,No,"",Yes,30,60,Yes,,No,"https://www.thaiembassy.com/thailand/",2024-11,"출국 시 리셋. 육로 입국 시 30일"
SG,"Singapore",KR,90,,reset,Yes,0,FREE,free,"",No,,,No,"",Yes,89,40,Yes,,Yes,"https://www.ica.gov.sg/",2024-11,"출국 시 리셋"
VN,"Vietnam",KR,45,,reset,Yes,0,FREE,free,"Instant",No,,,No,"",Yes,45,25,Yes,,No,"https://vietnam.vn/",2024-08,"45일 무비자. 출국 후 즉시 재입국 가능"
FR,"France",KR,90,180,rolling,No,7,EUR,eta,"Few minutes to 96 hours",No,,,Yes,"18-30",No,,,Yes,3,No,"https://france-visas.gouv.fr/",2024-11,"쉥겐 지역: 180일 중 90일. 2025년부터 ETIAS 필요"
DE,"Germany",KR,90,180,rolling,No,7,EUR,eta,"Few minutes to 96 hours",No,,,Yes,"18-30",No,,,Yes,3,No,"https://www.germany.info/",2024-11,"쉥겐 지역: 180일 중 90일"
US,"United States",KR,90,,reset,No,21,USD,eta,"72 hours",No,,,No,"",No,,,Yes,6,Yes,"https://esta.cbp.dhs.gov/",2024-11,"ESTA 필요. 2년 유효, 90일 체류"
CA,"Canada",KR,180,,reset,No,7,CAD,eta,"Few minutes",No,,,Yes,"18-30",Yes,180,100,Yes,,No,"https://www.canada.ca/",2024-11,"eTA 필요. 5년 유효 또는 여권 만료까지"
MX,"Mexico",KR,180,,reset,Yes,0,FREE,free,"",No,,,No,"",Yes,180,30,Yes,,No,"https://www.gob.mx/inm",2024-11,"최대 180일. 입국 시 기간 결정"
AU,"Australia",KR,90,,reset,No,20,AUD,eta,"Instant to 24 hours",No,,,Yes,"18-30",No,,,Yes,6,No,"https://immi.homeaffairs.gov.au/",2024-11,"ETA 필요. 12개월 유효, 방문당 90일"
NZ,"New Zealand",KR,90,,reset,No,23,NZD,eta,"10 minutes to 72 hours",No,,,Yes,"18-30",Yes,90,0,Yes,,Yes,"https://www.immigration.govt.nz/",2024-11,"NZeTA 필요. 2년 유효"